,0
0,-2.2608641212547024e-09
1,-2.2606832506601624e-09
2,-2.260454741210258e-09
3,-2.2602739671292914e-09
4,-2.260045465680111e-09
5,-2.2598647918137342e-09
6,-2.2596362952894264e-09
7,-2.259455723504116e-09
8,-2.2592272273431705e-09
9,-2.2590467572475834e-09
10,-2.2588182705364115e-09
11,-2.2586378979278622e-09
12,-2.2584094151517118e-09
13,-2.258229142957487e-09
14,-2.258000666323189e-09
15,-2.257820499752664e-09
16,-2.2575920198721536e-09
17,-2.2574119529302838e-09
18,-2.2571834817797656e-09
19,-2.257003519209687e-09
20,-2.2567750449907706e-09
21,-2.2565951869856655e-09
22,-2.256366716395281e-09
23,-2.2561869600257397e-09
24,-2.255958487838402e-09
25,-2.255778841756227e-09
26,-2.255550373669524e-09
27,-2.255370825906599e-09
28,-2.2551423566551425e-09
29,-2.254962911955144e-09
30,-2.254734446100347e-09
31,-2.254555102743645e-09
32,-2.2543266382423354e-09
33,-2.254147409039066e-09
34,-2.2539189403387104e-09
35,-2.253739811447715e-09
36,-2.2535113384431623e-09
37,-2.25333232006143e-09
38,-2.253103844614129e-09
39,-2.2529249309168114e-09
40,-2.252696458586306e-09
41,-2.2525176498656697e-09
42,-2.252289173855405e-09
43,-2.252110470738045e-09
44,-2.2518819919884515e-09
45,-2.251703398362273e-09
46,-2.2514749146333567e-09
47,-2.251296428534455e-09
48,-2.2510679430260534e-09
49,-2.250889562892796e-09
50,-2.2506610747507565e-09
51,-2.2504828051030355e-09
52,-2.2502543099961992e-09
53,-2.250076147415246e-09
54,-2.2498476510444356e-09
55,-2.2496696014295133e-09
56,-2.2494410927532936e-09
57,-2.2492631506796686e-09
58,-2.2490346431293777e-09
59,-2.2488568128635004e-09
60,-2.2486282952316175e-09
61,-2.2484505735704146e-09
62,-2.2482220506194885e-09
63,-2.248044444982874e-09
64,-2.24781591409868e-09
65,-2.247638415845905e-09
66,-2.247409878216923e-09
67,-2.247232494185525e-09
68,-2.247003948728965e-09
69,-2.246826675674888e-09
70,-2.2465981186872643e-09
71,-2.2464209628742966e-09
72,-2.2461923973818125e-09
73,-2.246015354524091e-09
74,-2.2457867794029742e-09
75,-2.245609847835332e-09
76,-2.245381261342766e-09
77,-2.2452044470183897e-09
78,-2.244975852713345e-09
79,-2.244799151542654e-09
80,-2.244570544748859e-09
81,-2.2443939598508058e-09
82,-2.2441653407925834e-09
83,-2.2439888754327928e-09
84,-2.2437602427081243e-09
85,-2.243583892391509e-09
86,-2.243355246336879e-09
87,-2.2431790160848225e-09
88,-2.2429503591548426e-09
89,-2.2427742439330196e-09
90,-2.2425455660719804e-09
91,-2.242369572390071e-09
92,-2.242140882631286e-09
93,-2.2419650058389024e-09
94,-2.2417363030089905e-09
95,-2.2415605464494083e-09
96,-2.2413318236978902e-09
97,-2.2411561855722113e-09
98,-2.2409274528253794e-09
99,-2.240751933422635e-09
100,-2.2405231811812736e-09
101,-2.240347784319269e-09
102,-2.240119009641296e-09
103,-2.239943738973906e-09
104,-2.239714953148807e-09
105,-2.2395397970543774e-09
106,-2.239310990306847e-09
107,-2.2391359556250707e-09
108,-2.238907131477411e-09
109,-2.238732223633022e-09
110,-2.238503371900107e-09
111,-2.238328598095167e-09
112,-2.23809972215694e-09
113,-2.2379250635936145e-09
114,-2.237696175198992e-09
115,-2.237521641803573e-09
116,-2.2372927302659367e-09
117,-2.23711832172998e-09
118,-2.2368893870568803e-09
119,-2.2367151046529875e-09
120,-2.2364861453442644e-09
121,-2.236311990677477e-09
122,-2.2360830053507937e-09
123,-2.2359089833582395e-09
124,-2.2356799703566525e-09
125,-2.23550607682203e-09
126,-2.2352770406772953e-09
127,-2.23510326391141e-09
128,-2.2348742089537424e-09
129,-2.234700569019479e-09
130,-2.234471481704301e-09
131,-2.234297974096867e-09
132,-2.23406885520823e-09
133,-2.233895476107664e-09
134,-2.233666333235881e-09
135,-2.233493090353285e-09
136,-2.23326391654003e-09
137,-2.2330907976476448e-09
138,-2.2328615972348615e-09
139,-2.2326886188419952e-09
140,-2.2324593813986657e-09
141,-2.2322865369007323e-09
142,-2.2320572688545723e-09
143,-2.2318845603740126e-09
144,-2.2316552618803223e-09
145,-2.231482684451833e-09
146,-2.231253350230395e-09
147,-2.2310809149363945e-09
148,-2.230851547743793e-09
149,-2.23067924996409e-09
150,-2.230449841452922e-09
151,-2.2302776830942625e-09
152,-2.2300482440794837e-09
153,-2.2298762185372815e-09
154,-2.229646743117472e-09
155,-2.229474860770978e-09
156,-2.229245344839302e-09
157,-2.2290736045712163e-09
158,-2.2288440580151402e-09
159,-2.2286724564002226e-09
160,-2.2284428707774377e-09
161,-2.2282714095110524e-09
162,-2.2280417828112794e-09
163,-2.2278704632048534e-09
164,-2.2276407961830253e-09
165,-2.2274696248087904e-09
166,-2.227239909287904e-09
167,-2.227068886529797e-09
168,-2.226839129681716e-09
169,-2.226668250738363e-09
170,-2.2264384468762847e-09
171,-2.2262677152505748e-09
172,-2.2260378763202365e-09
173,-2.225867289259428e-09
174,-2.225637399997903e-09
175,-2.225466961119338e-09
176,-2.2252370265664786e-09
177,-2.225066740955239e-09
178,-2.2248367565465983e-09
179,-2.224666621363326e-09
180,-2.224436586781832e-09
181,-2.224266604865076e-09
182,-2.2240365197224775e-09
183,-2.223866689094313e-09
184,-2.223636554044166e-09
185,-2.2234668785396533e-09
186,-2.223236690005732e-09
187,-2.223067172338316e-09
188,-2.222836927740907e-09
189,-2.2226675623068273e-09
190,-2.22243726841013e-09
191,-2.2222680625818475e-09
192,-2.222037709131714e-09
193,-2.2218686599887157e-09
194,-2.221638247774591e-09
195,-2.22146936297837e-09
196,-2.2212388953564696e-09
197,-2.221070165916851e-09
198,-2.220839637917559e-09
199,-2.2206710717203578e-09
200,-2.2204404858975057e-09
201,-2.2202720833741123e-09
202,-2.220041432885848e-09
203,-2.219873195317492e-09
204,-2.2196424825235215e-09
205,-2.2194744091293866e-09
206,-2.2192436315621568e-09
207,-2.2190757251268672e-09
208,-2.218844881541817e-09
209,-2.218677140093919e-09
210,-2.2184462296498374e-09
211,-2.218278662208624e-09
212,-2.2180476829064213e-09
213,-2.217880284192889e-09
214,-2.2176492360549432e-09
215,-2.217482007299363e-09
216,-2.2172508941535894e-09
217,-2.217083841183101e-09
218,-2.2168526460041405e-09
219,-2.2166857690495373e-09
220,-2.216454504912832e-09
221,-2.21628780265406e-09
222,-2.2160564615745737e-09
223,-2.215889936953715e-09
224,-2.215658516364676e-09
225,-2.2154921779448284e-09
226,-2.215260676599518e-09
227,-2.2150945135053318e-09
228,-2.214862936226694e-09
229,-2.2146969558953382e-09
230,-2.2144652976965008e-09
231,-2.214299503130452e-09
232,-2.2140677607501047e-09
233,-2.213902145297324e-09
234,-2.213670322031288e-09
235,-2.2135048931116896e-09
236,-2.2132729804745173e-09
237,-2.2131077456978263e-09
238,-2.2128757423306384e-09
239,-2.212710699281069e-09
240,-2.2124786040493086e-09
241,-2.2123137526146995e-09
242,-2.2120815730159305e-09
243,-2.211916907290548e-09
244,-2.211684632609035e-09
245,-2.211520168822019e-09
246,-2.211287798652019e-09
247,-2.211123532331537e-09
248,-2.2108910618117524e-09
249,-2.21072699305079e-09
250,-2.2104944260807537e-09
251,-2.2103305600754068e-09
252,-2.210097893195368e-09
253,-2.209934228964224e-09
254,-2.209701460090568e-09
255,-2.209537995101365e-09
256,-2.2093051214861345e-09
257,-2.209141869672781e-09
258,-2.2089088823085465e-09
259,-2.2087458433431856e-09
260,-2.2085127486662907e-09
261,-2.208349916405924e-09
262,-2.208116717625913e-09
263,-2.2079540972299687e-09
